Año,Mes,LPEI rural,LPEI urbano,LPI rural,LPI urbano
2023,09,1721.14,2243.12,3170.63,4378.46
2023,10,1701.52,2224.8400000000006,3165.34,4386.220000000001
2023,11,1703.61,2225.5899999999997,3183.93,4414.03
2023,12,1743.61,2269.6000000000004,3225.88,4460.960000000001
2024,01,1798.56,2328.5899999999997,3285.68,4528.709999999999
2024,02,1756.08,2293.4000000000005,3252.3599999999997,4514.970000000001
2024,03,1750.51,2287.629999999999,3251.44,4513.699999999999
2024,04,1761.74,2298.8199999999997,3254.6800000000003,4509.24
2024,05,1767.03,2304.3500000000004,3244.3599999999997,4484.08
2024,06,1759.79,2302.2599999999998,3241.1499999999996,4485.58
2024,07,1804.36,2352.3299999999995,3293.83,4552.879999999999
2024,08,1800.55,2354.66,3296.91,4564.98
2024,09,1786.88,2344.04,3290.62,4567.57
2024,10,1791.69,2349.69,3308.2200000000003,4592.450000000001
2024,11,1799.17,2359.1000000000004,3329.63,4628.83
2024,12,1799.71,2363.68,3334.24,4640.17
2025,01,1795.77,2366.35,3342.21,4660.54
2025,02,1787.36,2364.0200000000004,3340.21,4666.66
2025,03,1797.48,2379.4699999999993,3350.37,4680.15
2025,04,1814.57,2400.04,3362.2,4685.52
