clave,gib_16_urbano,gib_18_urbano,gib_16_rural,gib_18_rural,grupo,grupo2,uno_u,uno_r,gto_u,gto_r,num_u,num_r,pje_gasto_r,pje_gasto_u
E002,62.9754146882708,69.214118730958,23.8994103263647,26.2670223311285,E,"Educación, cultura y recreación",1,1,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
B002,60.8577407879841,67.5749401571441,50.1017940226142,55.6318011317334,B,Transporte público,1,1,199.872191676205,168.940150568105,5,3,7.29267246250636,6.01047497811203
C001,35.5077336081247,38.9704500975918,33.6224355587427,36.9012976598897,C,Limpieza y cuidados de la casa,1,1,86.0705014431802,112.302620753512,14,14,4.84778915540434,2.58827699310898
C002,6.15281668560527,7.145378336662,10.9205416892953,12.6822244182672,C,Limpieza y cuidados de la casa,1,1,86.0705014431802,112.302620753512,14,14,4.84778915540434,2.58827699310898
C006,7.65462848108987,9.03004170405655,4.41027150880674,5.20272613479824,C,Limpieza y cuidados de la casa,1,1,86.0705014431802,112.302620753512,14,14,4.84778915540434,2.58827699310898
F003,56.9990001426857,56.0247653093859,,,F,Comunicaciones y servicios para vehículos,1,,373.718595277249,171.328337536329,4,4,7.39576379562,11.2383130786297
F007,224.830403283519,316.266900553519,115.003183465004,161.773940966509,F,Comunicaciones y servicios para vehículos,1,1,373.718595277249,171.328337536329,4,4,7.39576379562,11.2383130786297
G009,69.277136453782,97.4078106900362,,,G,Vivienda y servicios de conservación,1,,329.368942677755,110.766588906965,7,11,4.78148296879814,9.90464842522434
H087,0.129406688751512,0.135563487087485,0.0777711030783845,0.0814712286487037,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
K015,5.54874694211286,5.93729148799288,3.84142885025967,4.11042043407593,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
R002,50.3975142020417,56.1252591229777,19.5367238793225,21.7570986883441,R,Vivienda y servicios de conservación,1,1,329.368942677755,110.766588906965,7,11,4.78148296879814,9.90464842522434
R001,83.7049893541554,90.5472925768063,49.2008484990686,53.2226771479916,R,Vivienda y servicios de conservación,1,1,329.368942677755,110.766588906965,7,11,4.78148296879814,9.90464842522434
C011,1.28477269327276,1.40551131029597,3.26826359740342,3.57540401911692,C,Limpieza y cuidados de la casa,1,1,86.0705014431802,112.302620753512,14,14,4.84778915540434,2.58827699310898
D001,15.4895985394467,17.4316280686527,13.1514089050888,14.8002847219347,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
D005,21.0127389912285,22.5749640405188,14.8236383217848,15.9257249711064,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
D014,29.2943660945057,34.4927617977359,24.1044919976529,28.3819249765712,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
H116,4.97820703271915,5.39647776482812,2.9226711123769,3.16823498263239,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
